,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Marsala,40,IT,1570334092,78,37.8,12.44,71.6,14.99
1,Hobart,75,AU,1570333914,82,-42.88,147.33,62.01,13.87
2,Takefu,75,JP,1570334094,64,35.9,136.17,69.8,12.75
3,Abu Zabad,100,SD,1570334096,79,12.35,29.25,73.01,7.96
4,Vestmannaeyjar,66,IS,1570334097,86,63.44,-20.27,50.1,18.34
5,Saint-Augustin,75,CA,1570334099,93,45.63,-73.98,46.99,2.24
6,Upernavik,100,GL,1570334100,98,72.79,-56.15,32.71,18.3
7,Kaitangata,100,NZ,1570334101,65,-46.28,169.85,53.01,13.0
8,Christchurch,0,NZ,1570334102,58,-43.53,172.64,55.0,17.22
9,Mataura,100,NZ,1570334104,75,-46.19,168.86,53.01,10.0
10,Paka,89,CF,1570334105,98,4.15,15.03,66.69,2.24
11,Port Alfred,0,ZA,1570334106,88,-33.59,26.89,64.99,11.01
12,Vostok,0,RU,1570334108,42,46.45,135.83,50.71,9.17
13,Marrakesh,0,MA,1570334109,68,31.63,-7.99,68.0,3.36
14,Turan,74,RU,1570334110,86,52.15,93.92,42.09,2.98
15,Te Anau,100,NZ,1570334112,74,-45.41,167.72,49.61,5.17
16,Thompson,90,CA,1570334113,100,55.74,-97.86,41.0,2.24
17,Ushuaia,0,AR,1570333913,74,-54.81,-68.31,37.4,4.7
18,Fare,73,PF,1570334116,78,-16.7,-151.02,78.72,9.98
19,Victoria,75,BN,1570334117,66,5.28,115.24,91.4,5.82
20,Cocobeach,40,GA,1570334118,88,1.01,9.58,78.8,5.82
21,Dikson,1,RU,1570334120,72,73.51,80.55,23.06,15.01
22,Beringovskiy,0,RU,1570334121,43,63.05,179.32,31.79,14.2
23,Chapais,1,CA,1570334122,80,49.78,-74.86,39.2,8.05
24,Punta Arenas,75,CL,1570334123,81,-53.16,-70.91,42.8,6.93
25,Cape Town,40,ZA,1570334125,87,-33.93,18.42,57.99,6.93
26,San Patricio,100,PY,1570334126,94,-26.98,-56.83,60.12,6.87
27,Komsomolskiy,100,RU,1570334127,97,67.55,63.78,34.74,13.62
28,Hermanus,100,ZA,1570334129,83,-34.42,19.24,55.99,13.06
29,Rikitea,100,PF,1570334130,82,-23.12,-134.97,72.06,23.06
30,Hadejia,90,NG,1570334131,66,12.45,10.04,76.61,6.11
31,Margate,75,AU,1570334132,82,-43.03,147.26,62.01,13.87
32,Shelabolikha,0,RU,1570334134,54,53.41,82.62,53.6,2.24
33,Kavieng,0,PG,1570334135,68,-2.57,150.8,84.17,7.02
34,Barrow,31,AR,1570334136,88,-38.31,-60.23,39.62,5.66
35,Busselton,100,AU,1570334114,32,-33.64,115.35,66.0,1.95
36,Santa Rosa,40,AR,1570334139,28,-36.62,-64.29,50.94,8.12
37,Kamenka,0,MD,1570334140,92,48.03,28.7,32.0,2.8
38,Vila Velha,40,BR,1570334142,74,-3.71,-38.6,79.0,14.99
39,La Ronge,90,CA,1570334143,87,55.1,-105.3,46.4,11.41
40,Marathon,100,CA,1570334144,92,48.72,-86.38,48.15,18.52
41,Bluff,0,AU,1570334145,25,-23.58,149.07,86.73,2.57
42,Lianzhou,0,CN,1570334147,56,24.79,112.38,80.39,5.01
43,Ponta do Sol,58,BR,1570334148,64,-20.63,-46.0,70.67,11.03
44,Mehamn,100,NO,1570334150,82,71.03,27.85,40.56,20.18
45,Bolshaya Izhora,20,RU,1570334151,92,59.95,29.57,30.99,4.47
46,Nikolayevskaya,0,RU,1570334152,81,43.22,44.21,59.0,2.24
47,Bethel,75,US,1570334112,74,60.79,-161.76,39.2,13.87
48,Vaini,75,IN,1570334155,100,15.34,74.49,71.6,3.36
49,Jamestown,0,AU,1570334156,42,-33.21,138.6,70.76,16.84
50,Mongu,20,ZM,1570334157,57,-15.27,23.14,66.35,4.09
51,Puerto Ayora,0,EC,1570334159,96,-0.74,-90.35,64.99,3.0
52,Yeniseysk,100,RU,1570334160,77,58.45,92.17,40.23,5.23
53,Cap Malheureux,40,MU,1570334161,94,-19.98,57.61,75.0,13.49
54,Geraldton,90,CA,1570334163,93,49.72,-86.95,46.4,13.87
55,Lasa,75,CY,1570334164,69,34.92,32.53,75.2,13.87
56,Bilibino,37,RU,1570334165,94,68.06,166.44,11.97,4.59
57,Ahipara,94,NZ,1570334166,81,-35.17,173.16,69.01,8.05
58,Namibe,72,AO,1570334168,78,-15.19,12.15,66.94,7.47
59,Castro,90,CL,1570334169,100,-42.48,-73.76,44.6,12.75
60,Saint-Philippe,1,CA,1570334117,93,45.36,-73.48,46.4,6.4
61,New Norfolk,75,AU,1570334166,82,-42.78,147.06,62.01,13.87
62,Skegness,100,GB,1570334173,100,53.14,0.34,52.0,11.41
63,Ostrovnoy,100,RU,1570334174,81,68.05,39.51,32.42,12.84
64,Raudeberg,0,NO,1570334175,75,61.99,5.14,42.8,10.29
65,Marsa Matruh,0,EG,1570334177,69,31.35,27.25,75.19,10.78
66,Morehead,1,US,1570334178,77,38.18,-83.43,69.8,5.82
67,Thunder Bay,90,CA,1570334179,93,48.41,-89.26,51.8,13.87
68,Tuktoyaktuk,40,CA,1570334181,80,69.44,-133.03,33.8,12.75
69,Qaanaaq,100,GL,1570334182,79,77.48,-69.36,23.1,3.04
70,Half Moon Bay,1,US,1570334183,37,37.46,-122.43,66.99,14.99
71,Kovur,51,IN,1570334185,67,14.5,79.99,83.5,5.73
72,Rawson,37,AR,1570334186,42,-43.3,-65.11,51.19,8.86
73,Macenta,100,GN,1570334187,99,8.55,-9.47,66.98,0.83
74,Aykhal,90,RU,1570334189,92,65.95,111.51,26.6,8.95
75,Luderitz,0,NA,1570334122,82,-26.65,15.16,55.4,4.7
76,Flin Flon,93,CA,1570334191,91,54.77,-101.88,43.87,7.49
77,Bredasdorp,69,ZA,1570334193,81,-34.53,20.04,51.8,6.93
78,Sitka,0,US,1570334194,69,37.17,-99.65,54.0,8.99
79,Orlik,75,PL,1570334196,93,53.95,17.74,39.2,5.82
80,Esperance,90,AU,1570334197,67,-33.86,121.89,59.0,14.99
81,Guerrero Negro,0,MX,1570334198,75,27.97,-114.04,69.39,13.82
82,Lethem,30,GY,1570334199,63,3.38,-59.8,81.15,6.93
83,Avarua,100,CK,1570334115,46,-21.21,-159.78,71.6,6.93
84,Constitucion,20,MX,1570334157,51,23.99,-104.67,62.6,4.7
85,Yeppoon,0,AU,1570334139,29,-23.13,150.74,87.8,5.82
86,Inyonga,87,TZ,1570334205,76,-6.72,32.06,63.61,5.46
87,Carnarvon,27,ZA,1570334206,26,-30.97,22.13,55.46,4.63
88,Port Elizabeth,90,US,1570334208,87,39.31,-74.98,64.0,4.16
89,Klaksvik,67,FO,1570334209,81,62.23,-6.59,50.0,31.09
90,Kavaratti,40,IN,1570334210,79,10.57,72.64,84.2,2.86
91,Buraydah,0,SA,1570334152,41,26.33,43.97,77.0,4.7
92,Albany,75,US,1570334049,75,42.65,-73.75,44.01,1.88
93,Cidreira,100,BR,1570334214,88,-30.17,-50.22,60.84,10.42
94,Arraial do Cabo,0,BR,1570334215,85,-22.97,-42.02,71.17,14.52
95,Kapaa,75,US,1570334216,65,22.08,-159.32,82.4,5.82
96,Sambava,18,MG,1570334218,97,-14.27,50.17,67.36,3.58
97,Iqaluit,75,CA,1570334219,61,63.75,-68.52,32.0,3.36
98,Gravdal,0,NO,1570334220,67,59.79,5.78,41.0,12.75
99,Nanortalik,19,GL,1570334221,85,60.14,-45.24,40.03,1.45
100,Tura,92,RU,1570334223,67,64.27,100.22,31.74,13.65
101,Seydi,100,NE,1570334224,62,13.34,7.75,79.27,4.09
102,Hasaki,75,JP,1570334225,82,35.73,140.83,68.0,20.8
103,Hilo,90,US,1570334227,62,19.71,-155.08,84.2,6.93
104,Torbay,40,CA,1570334228,80,47.66,-52.73,39.99,16.11
105,Prattville,40,US,1570334198,83,32.46,-86.46,77.0,5.82
106,Segou,100,SN,1570334231,95,12.41,-12.29,74.13,3.56
107,Cayenne,20,GF,1570334232,94,4.94,-52.33,75.2,4.92
108,Leh,19,IN,1570334233,35,34.16,77.58,32.64,2.28
109,Nantucket,1,US,1570334234,93,41.28,-70.1,50.0,4.7
110,Santa Vitoria do Palmar,100,BR,1570334236,87,-33.52,-53.37,50.64,6.08
111,Hami,10,CN,1570334237,20,42.84,93.51,63.49,5.03
112,Butaritari,0,KI,1570334238,63,3.07,172.79,84.98,4.63
113,Port Hawkesbury,75,CA,1570334240,80,45.62,-61.36,46.99,5.82
114,Birjand,0,IR,1570334241,23,32.86,59.22,53.6,11.41
115,Sawai Madhopur,0,IN,1570334242,59,26.02,76.35,81.18,1.34
116,Yellowknife,75,CA,1570334244,93,62.45,-114.38,39.2,3.38
117,Leningradskiy,100,RU,1570334245,96,69.38,178.42,31.81,34.67
118,Pevek,100,RU,1570334131,81,69.7,170.27,28.91,16.55
119,East London,0,ZA,1570334248,93,-33.02,27.91,60.8,13.87
120,Tezu,47,IN,1570334249,70,27.93,96.16,78.68,1.77
121,Pisco,9,PE,1570334135,82,-13.71,-76.2,63.0,3.36
122,Mahebourg,40,MU,1570334120,94,-20.41,57.7,75.0,8.72
123,Lar,0,IR,1570334253,94,27.66,54.32,71.6,6.93
124,Ulaanbaatar,75,MN,1570333977,24,47.92,106.92,48.2,8.95
125,Selikhino,0,RU,1570334255,61,50.37,137.51,48.21,12.37
126,Atuona,0,PF,1570334257,73,-9.8,-139.03,80.1,13.44
127,Cabedelo,40,BR,1570334138,94,-6.97,-34.84,73.4,5.82
128,Skovorodino,100,RU,1570334259,61,53.99,123.94,43.08,5.37
129,Moose Factory,90,CA,1570334261,66,51.26,-80.61,48.2,12.75
130,Katsuura,75,JP,1570334202,57,33.93,134.5,77.0,17.22
131,Shimoda,75,JP,1570334264,83,34.7,138.93,80.6,20.8
132,Ngunguru,93,NZ,1570334265,85,-35.62,174.5,60.01,5.99
133,Lebu,90,ET,1570334266,76,8.96,38.73,57.2,3.36
134,Broome,100,GB,1570334268,93,52.47,1.45,55.0,9.17
135,Suriapet,93,IN,1570334269,77,17.15,79.62,80.28,3.38
136,Nouakchott,9,MR,1570334270,21,18.08,-15.98,78.8,9.17
137,Kaniama,12,CD,1570334272,87,-7.57,24.18,67.16,2.26
138,Mudgee,60,AU,1570334273,23,-32.6,149.59,87.8,12.75
139,Si Racha,40,TH,1570334274,70,13.17,100.93,90.0,4.7
140,Lyuban,97,BY,1570334275,90,52.8,28.0,34.62,8.61
141,Kaspiyskiy,100,RU,1570334277,72,45.39,47.37,63.83,14.25
142,Plouzane,20,FR,1570334278,100,48.38,-4.62,57.2,5.82
143,Mar del Plata,6,AR,1570334279,43,-46.43,-67.52,48.69,7.76
144,Acapulco,75,MX,1570334227,78,16.86,-99.88,82.4,4.7
145,Nikolskoye,20,RU,1570334282,92,59.7,30.79,33.01,4.47
146,Chuy,93,UY,1570334283,80,-33.69,-53.46,51.68,6.33
147,Taungdwingyi,99,MM,1570334284,79,20.0,95.55,81.51,5.82
148,Kostomuksha,69,RU,1570334286,95,64.59,30.6,30.8,4.18
149,Quballat,20,TN,1570334287,64,36.54,9.66,68.0,6.93
150,Salalah,75,OM,1570334288,83,17.01,54.1,78.8,4.7
151,Unai,0,BR,1570334194,57,-16.36,-46.91,72.07,1.3
152,Naze,100,NG,1570334291,97,5.43,7.07,72.78,3.56
153,Evensk,55,RU,1570334292,55,61.92,159.24,33.23,9.6
154,Basco,1,US,1570334293,87,40.33,-91.2,64.99,12.75
155,Kiama,41,AU,1570334295,68,-34.67,150.86,73.0,8.05
156,Ozd,75,RO,1570334296,93,46.36,24.12,46.4,10.29
157,Kodiak,1,US,1570334298,81,39.95,-94.76,55.0,3.36
158,Savannah Bight,100,HN,1570334299,69,16.45,-85.85,84.91,5.19
159,Grindavik,75,IS,1570334300,100,63.84,-22.43,48.2,17.22
160,Camacupa,67,AO,1570334302,85,-12.02,17.48,60.46,0.25
161,Marienburg,0,DE,1570334303,93,52.12,9.98,42.8,6.93
162,Umm Lajj,0,SA,1570334304,74,25.02,37.27,84.42,4.0
163,Hambantota,75,LK,1570334306,100,6.12,81.12,77.0,2.24
164,Bahia Blanca,99,AR,1570334307,58,-38.72,-62.27,46.53,9.33
165,Coquimbo,0,CL,1570334308,81,-29.95,-71.34,51.8,5.82
166,Port Blair,100,IN,1570334309,66,11.67,92.75,82.77,4.47
167,Mecca,0,SA,1570334185,79,21.43,39.83,77.47,2.26
168,Chiang Khong,75,LA,1570334312,83,20.27,100.41,82.0,5.82
169,Chuncheng,0,CN,1570334313,63,22.17,111.79,90.0,6.44
170,Sibu,75,MY,1570334100,83,2.29,111.83,80.6,3.36
171,Yerbogachen,86,RU,1570334316,72,61.28,108.01,33.88,11.77
172,Bathsheba,20,BB,1570334317,83,13.22,-59.52,82.4,14.99
173,Henderson,75,US,1570334101,15,36.04,-114.98,75.2,8.05
174,Windsor,75,US,1570334138,87,42.3,-83.03,57.2,2.35
175,Arlit,19,NE,1570334226,13,18.74,7.39,87.21,4.18
176,Taber,40,CA,1570334322,71,49.79,-112.14,44.01,18.34
177,Balabac,99,PH,1570334323,71,7.99,117.06,84.35,5.48
178,Port Keats,26,AU,1570334324,56,-14.25,129.55,86.4,14.54
179,Beboto,96,TD,1570334326,98,8.27,16.94,69.88,4.0
180,Assiniboia,100,CA,1570334327,70,49.63,-105.99,47.7,19.19
181,Jertih,75,MY,1570334328,74,5.74,102.5,86.0,2.24
182,Kaina,20,NG,1570334330,83,12.64,8.59,75.2,4.7
183,Buchanan,100,LR,1570334331,94,5.88,-10.05,74.79,7.7
184,Tottenham,0,AU,1570334333,14,-32.24,147.35,94.9,20.45
185,Axim,34,GH,1570334334,90,4.87,-2.24,76.41,8.1
186,Novoplatnirovskaya,100,RU,1570334335,77,46.1,39.41,61.47,11.52
187,Kendari,20,ID,1570334337,59,-3.99,122.52,86.22,8.55
188,Arica,90,CL,1570334338,72,-18.48,-70.32,60.8,3.36
189,Clyde River,1,CA,1570334167,68,70.47,-68.59,26.6,4.7
190,Gustrow,20,DE,1570334340,100,53.8,12.17,37.0,1.12
191,Saskylakh,88,RU,1570334342,93,71.97,114.09,18.18,3.38
192,Jalu,0,LY,1570334343,75,29.03,21.55,65.18,9.89
193,Alyangula,0,AU,1570334344,58,-13.85,136.42,84.2,12.75
194,Manzhouli,100,CN,1570334191,38,49.6,117.43,50.94,19.17
195,Cururupu,0,BR,1570334133,95,-1.82,-44.87,72.61,2.77
196,Hobyo,23,SO,1570334348,88,5.35,48.53,77.55,6.8
197,Dogondoutchi,100,NE,1570334349,67,13.64,4.03,81.31,18.72
198,Sao Joao da Barra,0,BR,1570334351,89,-21.64,-41.05,68.69,2.46
199,Bay Roberts,40,CA,1570334352,83,47.58,-53.28,39.99,16.11
200,Alofi,53,NU,1570334198,64,-19.06,-169.92,75.2,13.87
201,Tiarei,75,PF,1570334354,74,-17.53,-149.33,80.6,14.99
202,Chokurdakh,60,RU,1570334356,84,70.62,147.9,18.79,9.57
203,Ahome,5,MX,1570334357,66,25.92,-109.18,84.2,4.7
204,Thinadhoo,50,MV,1570334358,74,0.53,72.93,82.06,8.46
205,Ribeira Grande,70,PT,1570334360,94,38.52,-28.7,71.48,19.33
206,Marabba,92,SD,1570334361,79,12.35,32.18,77.26,5.21
207,Brownwood,1,US,1570334362,44,31.71,-98.99,82.4,5.82
208,Irricana,75,CA,1570334364,42,51.32,-113.6,45.0,14.99
209,Paramonga,97,PE,1570334365,94,-10.68,-77.82,59.13,13.24
210,Khatanga,27,RU,1570334366,78,71.98,102.47,20.99,5.41
211,Rapu-Rapu,20,PH,1570334368,73,13.19,124.13,83.76,9.42
212,Pacific Grove,1,US,1570334232,45,36.62,-121.92,66.99,6.29
213,Dukat,92,AL,1570334370,83,40.25,19.57,64.0,4.14
214,Tecoanapa,75,MX,1570334371,78,16.99,-99.26,82.4,4.7
215,Tarko-Sale,100,RU,1570334373,94,64.92,77.78,44.01,18.63
216,Kruisfontein,1,ZA,1570334374,90,-34.0,24.73,56.56,19.1
217,Gamba,0,CN,1570334375,49,28.28,88.52,39.19,4.36
218,Seymour,23,US,1570334377,57,33.59,-99.26,79.0,8.99
219,Buala,89,SB,1570334378,77,-8.15,159.59,82.6,5.95
220,Imbituba,75,BR,1570334379,82,-28.24,-48.67,64.4,14.99
221,Ushtobe,0,KZ,1570334380,34,45.25,77.98,58.07,8.43
222,Tabas,0,IR,1570334382,21,33.6,56.92,60.8,2.24
223,Ketchikan,90,US,1570334383,87,55.34,-131.65,51.8,5.82
224,Pitimbu,40,BR,1570334385,94,-7.47,-34.81,73.4,5.82
225,Guadix,0,ES,1570334386,76,37.3,-3.14,59.0,1.59
226,Floriano,0,BR,1570334387,53,-6.77,-43.02,76.18,2.01
227,Port Hardy,20,CA,1570334389,100,50.7,-127.42,48.2,5.39
228,Mazyr,99,BY,1570334390,82,52.05,29.27,41.2,10.02
229,Singaraja,15,ID,1570334391,61,-8.11,115.08,80.8,3.65
230,Lebanon,90,US,1570334187,66,40.34,-76.42,57.2,9.53
231,Bambous Virieux,40,MU,1570334394,94,-20.34,57.76,75.99,8.72
232,Durazno,74,UY,1570334395,82,-33.38,-56.52,45.88,4.54
233,Sistranda,20,NO,1570334396,74,63.73,8.83,36.0,11.41
234,Puerto Cabezas,100,NI,1570334398,92,14.04,-83.39,77.02,2.3
235,Tasiilaq,100,GL,1570334399,80,65.61,-37.64,41.0,28.86
236,Dabakala,100,CI,1570334400,97,8.36,-4.43,70.38,6.17
237,Iwanai,19,JP,1570334403,55,42.97,140.51,57.08,3.22
238,Westport,90,US,1570334405,58,41.14,-73.36,55.4,8.05
239,Hervey Bay,40,AU,1570334408,47,-25.3,152.85,82.0,12.75
240,Lata,47,IN,1570334409,37,30.78,78.62,42.28,4.88
241,Ingham,97,AU,1570334411,38,-18.65,146.16,81.65,7.7
242,Ales,0,FR,1570334413,76,44.13,4.08,60.8,6.93
243,Alta Floresta,99,BR,1570334415,98,-9.87,-56.08,69.0,2.42
244,Shingu,20,JP,1570334416,51,33.72,135.99,82.4,13.87
245,Buta,34,CD,1570334418,99,2.79,24.73,68.53,0.54
246,Yar-Sale,100,RU,1570334192,99,66.83,70.83,40.65,7.67
247,Staryy Nadym,100,RU,1570334420,95,65.61,72.68,48.17,17.94
248,Freetown,0,BS,1570334422,80,26.61,-78.36,80.37,18.23
249,Qaqortoq,75,GL,1570334423,56,60.72,-46.03,44.6,3.36
250,Aasiaat,100,GL,1570334424,97,68.71,-52.87,34.02,22.5
251,Sept-Iles,5,CA,1570334385,80,50.2,-66.38,33.8,2.24
252,Jose Bonifacio,0,BR,1570334427,34,-21.05,-49.69,82.4,5.7
253,Saint-Pierre,90,FR,1570334134,100,48.95,4.24,55.99,6.93
254,Xiongzhou,90,CN,1570334431,68,32.34,118.83,75.99,8.95
255,Zile,75,TR,1570334432,72,40.3,35.89,60.8,1.12
256,Pak Phanang,20,TH,1570334433,66,8.35,100.2,89.6,2.24
257,Gambo,100,CF,1570334435,98,4.65,22.26,68.78,1.59
258,Mocuba,0,MZ,1570334436,90,-16.84,36.99,67.39,1.43
259,Hamilton,75,CA,1570334196,81,43.26,-79.87,57.2,6.93
260,Dawlatabad,0,AF,1570334439,36,36.41,64.91,60.16,0.63
261,Petropavlovsk-Kamchatskiy,90,RU,1570334440,100,53.05,158.65,37.4,8.95
262,Mount Gambier,90,AU,1570334442,82,-37.83,140.78,59.0,20.8
263,Verkh-Neyvinskiy,100,RU,1570334443,64,57.27,60.14,48.37,8.84
264,Cherskiy,100,RU,1570334444,90,68.75,161.3,20.32,10.22
265,Coihaique,0,CL,1570334177,75,-45.58,-72.07,42.8,5.82
266,Bayanday,100,RU,1570334447,95,53.07,105.52,36.99,9.78
267,Dingle,39,PH,1570334182,72,11.0,122.67,84.82,6.62
268,Dudinka,75,RU,1570334450,81,69.41,86.18,32.0,4.47
269,Nuuk,57,GL,1570334451,69,64.17,-51.74,35.6,14.99
270,North Bend,1,US,1570334452,93,43.41,-124.22,57.0,6.93
271,Waipawa,97,NZ,1570334454,68,-39.94,176.59,51.01,7.0
272,Vallenar,0,CL,1570334455,71,-28.58,-70.76,49.61,1.23
273,Dezful,0,IR,1570334456,23,32.38,48.4,68.51,4.99
274,Bartica,40,GY,1570334458,100,6.41,-58.62,75.2,4.7
275,Palmer,90,AU,1570334459,77,-34.85,139.16,64.99,12.75
276,Husavik,100,CA,1570334460,95,50.56,-96.99,43.0,5.99
277,Juneau,90,US,1570334462,93,58.3,-134.42,51.8,14.99
278,Hofn,100,IS,1570334463,99,64.25,-15.21,39.15,8.28
279,Grafton,97,AU,1570334464,42,-29.69,152.93,82.99,6.93
280,Mogadishu,0,SO,1570334230,89,2.04,45.34,76.75,7.45
281,Teya,75,MX,1570334467,83,21.05,-89.07,82.99,3.36
