,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
282,Crowley,1,US,1570334468,100,30.21,-92.37,80.6,2.1
283,Shiroishi,75,JP,1570334470,68,38.0,140.58,68.0,10.29
284,Srednekolymsk,0,RU,1570334471,73,67.46,153.71,25.09,3.58
285,Leshukonskoye,83,RU,1570334473,96,64.9,45.76,27.2,5.59
286,Vao,97,EE,1570334474,75,59.1,26.19,36.38,6.51
287,Narsaq,75,GL,1570334475,56,60.91,-46.05,44.6,3.36
288,Lala,1,PH,1570334476,57,7.97,123.75,89.39,2.8
289,Progreso,0,UY,1570334478,100,-34.68,-56.22,54.0,2.24
290,Amarante do Maranhao,73,BR,1570334479,82,-5.57,-46.74,74.11,2.17
291,Mahabad,39,IR,1570334481,46,36.77,45.72,55.19,6.67
292,Daru,82,PG,1570334482,74,-9.07,143.21,81.13,13.04
293,Saint George,40,GR,1570334483,82,39.45,22.34,57.2,4.0
294,Rio Gallegos,40,AR,1570334485,81,-51.62,-69.22,42.8,18.34
295,Lavrentiya,100,RU,1570334486,95,65.58,-170.99,32.67,10.51
296,Tongchuan,90,CN,1570334487,100,34.9,108.95,51.8,2.57
297,Marale,40,IN,1570334489,78,12.45,77.4,77.0,4.7
298,Porto Novo,0,BR,1570334490,77,-23.68,-45.44,69.8,5.82
299,Mukono,75,UG,1570334491,93,0.37,32.73,66.2,2.24
300,Severo-Kurilsk,100,RU,1570334493,87,50.68,156.12,42.39,37.38
301,Honningsvag,100,NO,1570334494,81,70.98,25.97,42.66,26.93
302,Oranjemund,100,ZA,1570334496,84,-28.55,16.43,57.51,12.39
303,San Quintin,6,PH,1570334497,65,17.54,120.52,86.02,2.84
304,Marsh Harbour,0,BS,1570334498,78,26.54,-77.06,80.3,18.21
305,Norman Wells,90,CA,1570334499,100,65.28,-126.83,33.8,14.99
306,Airai,18,TL,1570334501,44,-8.93,125.41,87.86,5.28
307,Muros,75,ES,1570334502,100,42.77,-9.06,63.0,1.81
308,Cartago,40,CR,1570334396,94,9.86,-83.92,70.0,3.36
309,Minna,100,NG,1570334505,98,9.62,6.55,72.81,1.21
310,Breda,100,NL,1570334506,87,51.59,4.78,51.01,6.93
311,Aswan,0,EG,1570334401,20,24.09,32.9,82.4,6.93
312,Nortelandia,79,BR,1570334509,90,-14.45,-56.8,72.13,7.43
313,Wattegama,0,LK,1570334510,74,7.35,80.68,79.74,1.88
314,Fort Nelson,75,CA,1570334512,75,58.81,-122.69,44.6,6.93
315,Port-Gentil,100,GA,1570334513,84,-0.72,8.78,78.57,14.18
316,Hithadhoo,92,MV,1570334514,73,-0.6,73.08,82.57,11.05
317,Deputatskiy,100,RU,1570334516,82,69.3,139.9,15.3,0.92
318,Nome,1,US,1570334518,88,30.04,-94.42,82.0,4.09
319,Tiksi,95,RU,1570334519,89,71.64,128.87,19.6,4.47
320,Huarmey,12,PE,1570334520,91,-10.07,-78.15,60.37,17.69
321,Abu Dhabi,0,AE,1570334331,66,24.47,54.37,84.2,4.7
322,Uslar,0,DE,1570334523,93,51.66,9.63,44.01,4.7
323,Georgetown,40,GY,1570334524,100,6.8,-58.16,75.2,4.7
324,Pombas,37,BR,1570334525,90,-15.9,-54.74,72.96,3.42
325,Bandarbeyla,39,SO,1570334527,77,9.49,50.81,76.45,10.98
326,Toppenish,1,US,1570334528,70,46.38,-120.31,59.0,4.7
327,Kirakira,99,SB,1570334529,83,-10.46,161.92,81.27,15.08
328,Sioux Lookout,90,CA,1570334531,93,50.1,-91.92,46.4,4.7
329,Labuhan,21,ID,1570334532,42,-2.54,115.51,94.02,2.51
330,Bouca,100,CF,1570334533,97,6.51,18.28,68.37,2.51
331,Contamana,61,PE,1570334535,74,-7.35,-75.01,75.62,1.63
332,Kalawit,55,PH,1570334536,71,7.91,122.53,84.26,3.83
333,Barcelos,86,BR,1570334538,79,-0.97,-62.93,76.09,1.21
334,Winter Garden,40,US,1570334523,83,28.57,-81.59,78.01,8.05
335,Illapel,0,CL,1570334541,88,-31.63,-71.17,46.33,7.02
336,Gillette,1,US,1570334542,80,44.29,-105.5,41.0,10.29
337,Margasari,18,ID,1570334544,64,-1.24,116.82,84.57,5.53
338,Flinders,29,AU,1570334545,68,-34.58,150.85,73.99,8.05
339,Grand-Lahou,91,CI,1570334546,98,5.24,-5.0,71.32,1.88
340,Palana,100,RU,1570334548,69,59.08,159.95,42.1,23.35
341,Bow Island,75,CA,1570334549,86,49.87,-111.38,44.01,8.05
342,Shaowu,0,CN,1570334550,53,27.34,117.49,84.78,3.47
343,Kolokani,0,ML,1570334552,73,13.58,-8.03,75.85,4.32
344,Halifax,5,CA,1570334553,93,44.65,-63.58,44.01,2.24
345,Klyuchi,0,RU,1570334555,61,52.25,79.17,56.52,0.65
346,Colomi,75,BO,1570334556,48,-17.34,-65.87,60.8,6.93
347,Mahanoro,19,MG,1570334557,88,-19.9,48.8,66.24,2.3
348,Provideniya,50,RU,1570334559,80,64.42,-173.23,29.11,6.35
349,Skibbereen,40,IE,1570334560,87,51.55,-9.27,50.0,6.93
350,Bodinayakkanur,100,IN,1570334562,84,10.01,77.35,72.51,1.77
351,Kahului,40,US,1570334563,83,20.89,-156.47,84.2,10.29
352,Wanning,75,AT,1570334565,100,48.64,13.53,42.8,3.36
353,Sehithwa,77,BW,1570334566,36,-20.47,22.7,68.85,5.99
354,College,90,US,1570334567,94,64.86,-147.8,33.8,6.15
355,Campbell River,75,CA,1570334569,93,50.02,-125.24,53.6,2.24
356,Alice Springs,0,AU,1570334350,7,-23.7,133.88,95.0,8.05
357,Tinskoy,100,RU,1570334571,78,56.15,96.92,39.21,8.59
358,Bara,37,NG,1570334572,88,10.41,10.6,70.53,1.63
359,Santa Cruz,83,BR,1570334305,83,-6.22,-36.02,69.34,16.69
360,Arman,47,RU,1570334575,75,59.7,150.17,26.05,5.66
361,Eureka,1,US,1570334346,81,40.8,-124.16,55.99,27.31
362,Lodja,6,CD,1570334577,94,-3.52,23.6,68.04,1.7
363,Magadi,40,IN,1570334579,78,12.96,77.22,77.0,4.7
364,Agadir,0,MA,1570334308,67,30.42,-9.58,62.6,5.82
365,Manokwari,11,ID,1570334581,74,-0.87,134.08,80.16,4.79
366,Vanimo,79,PG,1570334583,68,-2.67,141.3,84.01,7.99
367,Rio Grande,100,BR,1570334409,93,-32.03,-52.1,55.0,1.01
368,Daigo,75,JP,1570334585,88,36.78,140.36,71.01,16.11
369,Taoudenni,0,ML,1570334586,15,22.68,-3.98,79.22,6.89
370,Atar,0,MR,1570334588,11,20.52,-13.05,88.78,4.21
371,Atasu,0,KZ,1570334589,28,48.68,71.64,49.29,5.79
372,Edgewater,40,US,1570334590,83,28.99,-80.9,81.0,13.87
373,Ambilobe,0,MG,1570334592,81,-13.19,49.05,73.32,7.58
374,Cabo San Lucas,5,MX,1570334593,69,22.89,-109.91,80.6,4.7
375,Matagami,99,NG,1570334594,98,9.67,8.4,67.75,2.3
376,Lukovetskiy,75,RU,1570334596,93,64.29,41.92,35.6,6.71
377,Pimentel,91,BR,1570334597,88,-3.7,-45.5,74.79,2.37
378,Touros,40,BR,1570334598,83,-5.2,-35.46,75.2,6.93
379,Wahiawa,20,US,1570334600,69,21.5,-158.02,82.4,9.17
380,Lithgow,86,AU,1570334601,60,-33.48,150.16,81.0,6.93
381,Wanganui,0,NZ,1570334582,50,-39.93,175.05,59.0,15.99
382,Pekan,75,MY,1570334604,70,3.49,103.39,87.8,1.12
383,North Platte,1,US,1570334605,86,41.12,-100.77,43.0,1.77
384,Bahir Dar,100,ET,1570334606,89,11.59,37.39,53.3,3.4
385,Vila do Maio,20,CV,1570334608,78,15.13,-23.22,78.8,12.75
386,Ixtapa,75,MX,1570334609,79,20.71,-105.21,84.2,7.87
387,Baiquan,0,CN,1570334611,34,47.61,126.08,57.57,16.49
388,Portland,1,US,1570334517,72,43.66,-70.25,46.99,1.99
389,Necochea,0,AR,1570334613,96,-38.55,-58.74,37.0,3.02
390,Nagato,75,JP,1570334615,53,34.35,131.14,77.0,5.82
391,Nhulunbuy,40,AU,1570334616,55,-12.18,136.78,86.0,14.99
392,Uarini,59,BR,1570334617,79,-2.98,-65.16,75.3,1.14
393,Byron Bay,99,AU,1570334619,60,-28.65,153.62,82.4,12.75
394,Longyearbyen,75,NO,1570334620,80,78.22,15.63,35.6,6.93
395,Koshurnikovo,100,RU,1570334621,97,54.3,93.39,43.85,4.03
396,Pacifica,1,US,1570334623,37,37.61,-122.49,66.99,14.99
397,Dijkot,100,PK,1570334624,38,31.22,73.0,81.78,3.47
398,Solnechnyy,83,RU,1570334625,40,50.72,136.64,54.25,4.92
399,Brae,100,GB,1570334627,76,60.4,-1.35,51.8,26.4
400,Starosubkhangulovo,18,RU,1570334628,53,53.1,57.43,39.06,4.59
401,Turukhansk,100,RU,1570334629,90,65.8,87.96,35.52,6.55
402,Saint Anthony,90,US,1570334631,80,43.97,-111.68,37.0,4.7
403,Bhadasar,35,IN,1570334632,28,28.3,74.31,85.05,4.7
404,Preobrazheniye,0,RU,1570334633,30,42.9,133.91,54.9,5.39
405,Xam Nua,9,LA,1570334635,59,20.42,104.04,76.38,3.67
406,Japura,15,ID,1570334636,53,-0.42,102.29,87.41,3.49
407,Talnakh,75,RU,1570334637,84,69.49,88.39,32.0,4.47
408,Salinopolis,0,BR,1570334639,80,-0.61,-47.36,81.27,14.18
409,Black River,20,JM,1570334640,69,18.03,-77.85,78.8,6.93
410,Souillac,90,FR,1570334641,93,45.6,-0.6,60.01,2.24
411,Kharp,100,RU,1570334642,99,66.82,65.8,32.69,7.72
412,Kutum,100,SD,1570334582,77,14.2,24.66,68.13,4.72
413,Oyama,75,JP,1570334645,88,36.31,139.8,70.0,16.11
414,Calderitas,75,MX,1570334646,94,18.55,-88.26,77.0,3.76
415,Shizunai,0,JP,1570334648,54,42.33,142.37,57.21,13.27
416,Mariental,90,BR,1570334649,93,-25.72,-49.65,61.0,14.99
417,Isangel,75,VU,1570334651,65,-19.55,169.27,78.8,6.93
418,Katobu,2,ID,1570334652,40,-4.94,122.53,90.72,9.31
419,Saldanha,0,PT,1570334653,74,41.42,-6.55,53.62,2.37
420,Poitiers,75,FR,1570334655,100,46.58,0.34,57.99,8.05
421,Lorengau,51,PG,1570334656,61,-2.02,147.27,86.69,5.17
422,Nauta,1,PE,1570334657,72,-4.51,-73.58,77.28,3.56
423,Inhambane,0,MZ,1570334659,95,-23.87,35.38,62.64,1.81
424,Pierre,1,US,1570334660,57,44.37,-100.35,52.0,9.17
425,Salekhard,100,RU,1570334661,96,66.54,66.62,36.06,11.07
426,Valparaiso,75,US,1570334663,100,41.47,-87.06,60.8,6.93
427,Carballo,90,ES,1570334664,100,43.21,-8.69,61.0,2.24
428,Ulaangom,0,MN,1570334666,35,49.98,92.07,46.89,3.33
429,Umm Kaddadah,100,SD,1570334667,64,13.6,26.69,76.23,12.48
430,La Union,100,GT,1570334668,1,14.97,-89.29,71.01,1.83
431,Praia,0,BR,1570334669,56,-20.25,-43.81,69.8,5.82
432,Bubaque,96,GW,1570334671,75,11.28,-15.83,81.6,6.35
433,Sao Felix do Xingu,13,BR,1570334672,93,-6.64,-51.99,71.61,1.52
434,Lavumisa,41,ZA,1570334673,97,-27.31,31.88,61.49,3.2
435,Chimore,100,BO,1570334675,99,-16.98,-65.13,62.26,2.68
436,San Cristobal,91,HN,1570334676,91,14.68,-86.92,67.81,3.53
437,Safakulevo,37,RU,1570334678,58,54.99,62.54,44.79,8.16
438,Bangil,42,ID,1570334679,27,-7.6,112.78,93.73,6.82
439,Hinatuan,4,PH,1570334681,54,8.37,126.34,89.91,3.69
440,Luba,6,PH,1570334682,65,17.32,120.7,86.02,2.84
441,Hays,1,US,1570334683,81,38.88,-99.33,55.4,3.83
442,Robat Karim,0,IR,1570334685,35,35.49,51.08,62.6,6.93
443,Maraa,80,BR,1570334686,80,-1.83,-65.37,76.25,1.3
444,Xihua,100,CN,1570334687,89,33.79,114.53,51.55,5.79
445,Delesti,75,RO,1570334689,93,46.7,27.55,46.4,2.24
446,Smithers,75,CA,1570334690,93,54.78,-127.17,48.2,5.82
447,Nizwa,0,OM,1570334692,67,22.93,57.53,71.84,2.57
448,Hauterive,1,CA,1570334693,83,49.18,-68.27,41.0,4.7
449,Luganville,75,VU,1570334695,78,-15.51,167.18,80.6,9.17
450,Barguzin,100,RU,1570334697,85,53.62,109.63,28.86,8.34
451,Traunstein,75,DE,1570334698,93,47.87,12.64,42.8,5.82
452,Biggar,99,CA,1570334700,77,52.06,-107.98,44.66,16.08
453,Bireun,100,ID,1570334548,70,5.2,96.7,76.39,2.91
454,Sechura,0,PE,1570334702,86,-5.56,-80.82,62.01,11.97
455,Aksu,0,KZ,1570334704,58,52.04,76.93,53.6,4.47
456,Najran,40,SA,1570334705,25,17.54,44.22,75.2,4.7
457,Yining,96,CN,1570334706,64,29.04,114.56,74.68,2.75
458,Beroroha,0,MG,1570334708,62,-21.68,45.17,73.55,9.95
459,Leo,100,BF,1570334709,91,11.1,-2.1,73.57,4.23
460,Sarangani,63,PH,1570334710,69,5.4,125.46,82.86,1.88
461,Okhotsk,0,RU,1570334711,40,59.36,143.24,35.17,11.25
462,Taltal,0,CL,1570334713,77,-25.41,-70.49,50.71,3.76
463,Michalovce,75,SK,1570334714,81,48.75,21.92,45.0,19.46
464,Lakefield,75,CA,1570334715,87,44.42,-78.27,55.99,2.24
465,Burhaniye,75,TR,1570334717,93,39.51,26.98,62.6,3.36
466,Gashua,100,NG,1570334718,69,12.87,11.04,78.9,4.09
467,Kysyl-Syr,100,RU,1570334719,90,63.9,122.77,29.83,13.15
468,Kota Belud,75,MY,1570334721,63,6.35,116.43,91.4,4.7
469,Jacareacanga,73,BR,1570334722,87,-6.22,-57.76,73.57,1.59
470,Tingo Maria,99,PE,1570334723,91,-9.29,-76.01,39.03,1.05
471,Khashuri,0,GE,1570334725,82,42.0,43.6,53.52,3.42
472,Pangnirtung,0,CA,1570334726,43,66.15,-65.72,14.13,5.64
473,Port Macquarie,87,AU,1570334439,60,-31.43,152.91,73.4,13.87
474,Nizhniy Tsasuchey,100,RU,1570334729,39,50.52,115.13,51.64,20.47
475,Morococha,41,PE,1570334730,73,-11.61,-76.13,37.41,2.3
476,Camacari,40,BR,1570334731,78,-12.7,-38.32,77.0,4.7
477,Wang Saphung,75,TH,1570334733,65,17.3,101.77,82.4,3.36
478,Oktyabrskiy,90,RU,1570334734,86,55.61,37.97,39.2,11.18
479,Honiara,40,SB,1570334735,70,-9.43,159.96,87.8,11.41
480,Cedar City,1,US,1570334737,18,37.68,-113.06,53.6,5.82
481,Bacungan,20,PH,1570334738,59,9.87,118.73,89.6,9.17
482,Taki,40,IN,1570334739,84,22.59,88.93,86.0,3.36
483,Grand Gaube,40,MU,1570334741,94,-20.01,57.66,75.99,13.49
484,Belyy Yar,0,RU,1570334742,58,53.6,91.39,53.6,2.24
485,Ilulissat,100,GL,1570334744,93,69.22,-51.1,35.6,10.29
486,Bacolod,25,PH,1570334745,66,10.68,122.95,86.13,6.26
487,Le Vauclin,20,MQ,1570334746,88,14.55,-60.84,78.8,3.36
488,Pahalgam,100,IN,1570334747,50,34.03,75.33,53.57,2.42
489,Canguaretama,40,BR,1570334749,78,-6.38,-35.14,78.8,11.41
490,Ratnagiri,55,IN,1570334750,77,16.98,73.3,82.42,6.49
491,Olinda,40,AU,1570334751,36,-37.84,145.39,77.0,20.8
492,Marzuq,25,YE,1570334753,45,14.4,46.47,71.46,3.91
493,Kyshtovka,0,RU,1570334754,85,56.56,76.62,51.66,8.08
494,Lawton,1,US,1570334755,56,34.61,-98.39,75.2,9.17
495,Abha,0,SA,1570334757,51,18.22,42.5,62.6,3.56
496,Lompoc,1,US,1570334758,41,34.64,-120.46,64.4,10.11
497,Olden,0,NO,1570334759,93,61.84,6.81,30.99,2.17
498,Adrar,0,DZ,1570334761,28,27.87,-0.29,69.8,11.41
499,Boa Vista,0,BR,1570334762,69,2.82,-60.67,82.4,4.7
500,Sweetwater,1,US,1570334763,50,32.47,-100.41,80.01,4.7
501,Granada,40,NI,1570334765,88,11.93,-85.96,78.8,6.93
502,Doha,0,QA,1570334558,40,25.29,51.53,87.8,2.24
503,Goderich,100,CA,1570334767,82,43.74,-81.71,52.0,3.0
504,Polunochnoye,58,RU,1570334769,87,60.87,60.43,42.48,5.57
505,Coahuayana,2,MX,1570334770,88,18.62,-100.35,72.54,2.37
506,Kasempa,39,ZM,1570334771,64,-13.46,25.83,64.19,5.3
507,Inzer,26,RU,1570334773,61,54.22,57.56,39.24,4.5
508,Basoko,100,CD,1570334774,99,1.23,23.61,69.07,0.92
509,Rome,0,IT,1570334569,87,41.89,12.48,62.01,3.36
510,Birao,87,CF,1570334777,95,10.3,22.78,69.43,3.87
511,Mulege,0,MX,1570334778,57,26.88,-111.98,83.27,0.98
512,Port Lincoln,95,AU,1570334779,85,-34.72,135.86,57.78,15.48
513,Vieux-Habitants,20,GP,1570334781,74,16.06,-61.77,80.6,10.29
514,Puerto Escondido,96,MX,1570334782,90,15.86,-97.07,77.38,3.2
515,Coromandel,33,BR,1570334783,55,-18.47,-47.2,74.79,8.77
516,Hualmay,57,PE,1570334785,91,-11.1,-77.61,60.46,17.92
517,San Juan,37,AR,1570334786,33,-31.54,-68.53,45.07,2.33
518,Sandwick,100,GB,1570334787,93,54.57,-2.89,54.0,16.11
519,Varkaus,0,FI,1570334789,92,62.32,27.87,30.2,3.36
520,Sharjah,0,AE,1570334790,66,25.36,55.39,86.0,8.05
521,Richards Bay,0,ZA,1570334625,80,-28.77,32.06,70.89,21.88
522,Lac du Bonnet,100,CA,1570334793,95,50.25,-96.06,44.01,8.01
523,Dourbali,100,TD,1570334794,79,11.81,15.86,76.66,1.5
524,Akdepe,0,TM,1570334795,31,42.05,59.39,48.2,2.24
525,Zhigansk,100,RU,1570334797,77,66.77,123.37,28.86,15.35
526,Frontera,40,MX,1570334798,100,18.53,-92.64,77.0,5.37
527,Muzhi,98,RU,1570334799,91,65.4,64.7,35.68,10.76
528,Havoysund,100,NO,1570334801,86,71.0,24.66,41.0,33.33
529,Castlegar,2,CA,1570334802,83,49.32,-117.66,44.01,3.06
530,Kalmunai,23,LK,1570334803,68,7.42,81.82,83.02,1.88
531,Miles City,20,US,1570334805,70,46.41,-105.84,46.0,10.29
532,Glendive,20,US,1570334806,57,47.11,-104.71,46.4,13.87
533,Sopur,100,IN,1570334808,48,34.3,74.47,51.95,1.88
534,La Paz,5,MX,1570334562,51,24.15,-110.32,82.4,5.82
535,Sao Paulo de Olivenca,92,BR,1570334810,75,-3.38,-68.87,77.19,1.39
536,San Policarpo,88,PH,1570334811,67,12.18,125.51,84.58,7.49
537,Sagua de Tanamo,100,CU,1570334813,99,20.58,-75.24,70.08,1.79
538,Yumen,20,CN,1570334814,26,40.29,97.04,53.14,17.69
539,Ntoum,40,GA,1570334815,88,0.39,9.76,78.8,5.82
540,Meadow Lake,61,CA,1570334817,88,54.13,-108.44,41.76,6.91
541,Russell,1,US,1570334818,66,38.9,-98.86,55.4,5.82
542,Polovinnoye,53,RU,1570334819,56,54.79,65.99,46.68,8.55
543,Ziro,40,IN,1570334821,83,27.54,93.82,84.2,3.36
544,Mackay,90,CA,1570334822,43,53.65,-115.58,50.0,13.87
545,Marawi,2,PH,1570334823,75,8.0,124.29,84.99,5.99
546,Carson City,1,US,1570334825,24,39.16,-119.77,57.0,6.93
547,Cairns,40,AU,1570334826,45,-16.92,145.77,84.99,16.11
548,Toamasina,75,MG,1570334827,94,-18.17,49.38,73.4,6.93
549,Den Helder,90,NL,1570334828,81,52.96,4.76,51.01,12.75
550,Tabou,100,CI,1570334830,95,4.42,-7.36,74.52,3.11
551,Bowen,18,AU,1570334831,42,-20.01,148.25,84.99,11.41
552,Karasjok,100,NO,1570334832,75,69.47,25.52,42.8,24.16
553,Vryheid,0,ZA,1570334834,90,-27.77,30.79,56.74,0.56
554,Beatrice,1,US,1570334577,87,40.27,-96.75,50.0,3.42
555,Aklavik,40,CA,1570334836,64,68.22,-135.01,33.8,3.36
556,Bolnisi,0,GE,1570334838,82,41.45,44.54,62.6,5.82
557,Faanui,2,PF,1570334839,77,-16.48,-151.75,79.4,12.1
558,Tumba,4,SE,1570334840,74,59.2,17.83,37.99,3.36
559,Waddan,0,LY,1570334842,86,29.16,16.14,62.43,5.84
560,Iskateley,100,RU,1570334843,98,67.68,53.15,31.99,4.09
561,Ust-Maya,81,RU,1570334844,65,60.42,134.54,35.52,5.37
562,Warner Robins,90,US,1570334758,69,32.62,-83.6,77.0,13.87
563,Sibolga,83,ID,1570334847,79,1.74,98.78,79.8,7.99
564,Novikovo,100,RU,1570334848,91,51.15,37.89,43.0,19.37
565,Riverton,1,US,1570334850,52,43.02,-108.38,44.6,16.11
